Species,Date,Timepoint,Treatment code,Treatment,Replicate vial,Plate #,Well ,nmol/min,nmol/larva/min
Ofav,08/23/17,Exposure,NS,Control,6,1,A3,0.00488814,0.0008146900875
Ofav,08/23/17,Exposure,NS,Control,9,1,D6,0.00589677,0.0009827949961
Ofav,08/23/17,Exposure,NS,Control,1,2,A1,0.004864690288,0.0008107817146
Ofav,08/23/17,Exposure,NS,Control,7,1,B4,0.00586083,0.0009768042987
Ofav,08/23/17,Exposure,NS,Control,5,2,D4,0.00587373,0.0009789544265
Ofav,08/23/17,Exposure,NS,Control,10,2,C3,0.00598404,0.000997340807
Ofav,08/23/17,Exposure,NS,Control,3,2,B4,0.00948656,0.001581093583
Ofav,08/23/17,Exposure,NS,Control,8,1,C5,nd,
Ofav,08/23/17,Exposure,PH,High Port,10,2,C6,0.00476122,0.0007935372794
Ofav,08/23/17,Exposure,PH,High Port,3,2,C1,0.00552772,0.0009212870255
Ofav,08/23/17,Exposure,PH,High Port,6,1,A4,0.00632846,0.001054743267
Ofav,08/23/17,Exposure,PH,High Port,1,2,A6,0.00490622,0.0008177037172
Ofav,08/23/17,Exposure,PH,High Port,8,1,C6,0.00491658,0.0008194294299
Ofav,08/23/17,Exposure,PH,High Port,5,2,D1,0.00490844,0.0008180733123
Ofav,08/23/17,Exposure,PH,High Port,7,1,B5,0.00216146,
Ofav,08/23/17,Exposure,PH,High Port,9,1,D2,0.00266001,
Ofav,08/23/17,Exposure,RH,High Reef,6,1,A6,0.00357708,0.0005961799693
Ofav,08/23/17,Exposure,RH,High Reef,7,1,B1,0.00771694,0.001286156267
Ofav,08/23/17,Exposure,RH,High Reef,9,1,D4,0.00690475,0.001150792324
Ofav,08/23/17,Exposure,RH,High Reef,3,2,B6,0.00482223,0.0008037051546
Ofav,08/23/17,Exposure,RH,High Reef,1,2,A4,0.00596911,0.0009948512211
Ofav,08/23/17,Exposure,RH,High Reef,10,2,C5,0.00520985,0.0008683085516
Ofav,08/23/17,Exposure,RH,High Reef,5,2,D3,0.00705621,0.00117603553
Ofav,08/23/17,Exposure,RH,High Reef,8,1,C2,0.00713141,
Ofav,08/23/17,Exposure,PL,Low Port,7,1,B6,0.00301926,0.0005032099354
Ofav,08/23/17,Exposure,PL,Low Port,9,1,D3,0.00361367,0.0006022786787
